@relation Diamantes

@attribute carat numeric
@attribute cut {Ideal,Premium,Good,Very_Good,Fair}
@attribute color {E,I,J,H,F,G,D}
@attribute clarity {SI2,SI1,VS1,VS2,VVS2,VVS1,I1,IF}
@attribute price {300-699,1000-4999,5000-9999,10000+,700-999}

@data
0.41,Ideal,G,VS2,700-999
0.41,Ideal,H,VS1,700-999
0.41,Ideal,H,VS1,700-999
0.41,Ideal,J,VS1,700-999
0.41,Premium,J,VS1,700-999
0.41,Premium,J,VS1,700-999
0.41,Premium,J,VS1,700-999
0.41,Ideal,J,VS1,700-999
0.41,Ideal,J,VS1,700-999
0.41,Premium,J,VS1,700-999
0.41,Good,J,VS1,700-999
0.41,Premium,F,SI2,700-999
0.41,Very_Good,E,VS2,700-999
0.41,Fair,G,VVS2,700-999
0.41,Very_Good,G,VS2,700-999
0.41,Very_Good,E,VS1,700-999
0.41,Very_Good,E,VS1,700-999
0.41,Very_Good,G,VS2,700-999
0.41,Good,G,SI1,700-999
0.41,Ideal,G,SI2,700-999
0.41,Premium,H,SI2,700-999
0.41,Very_Good,D,SI1,700-999
0.41,Very_Good,H,VVS2,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Ideal,D,SI2,700-999
0.41,Ideal,I,VVS2,700-999
0.41,Good,G,VVS1,700-999
0.41,Very_Good,I,VVS1,700-999
0.41,Premium,D,VS2,700-999
0.41,Very_Good,H,VVS2,700-999
0.41,Very_Good,I,VVS1,700-999
0.41,Good,G,VS1,700-999
0.41,Ideal,E,VS2,700-999
0.41,Very_Good,F,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Good,G,I1,300-699
0.41,Ideal,G,SI1,700-999
0.41,Very_Good,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Very_Good,F,VS2,700-999
0.41,Good,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Premium,F,VS2,700-999
0.41,Very_Good,I,VVS1,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,E,VS1,700-999
0.41,Premium,F,VS2,700-999
0.41,Premium,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Very_Good,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Very_Good,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,I,VVS1,700-999
0.41,Premium,I,VVS1,700-999
0.41,Very_Good,I,VVS1,700-999
0.41,Very_Good,I,VVS1,700-999
0.41,Very_Good,F,VS2,700-999
0.41,Ideal,I,VVS1,700-999
0.41,Ideal,F,VS2,700-999
0.41,Very_Good,F,VS2,700-999
0.41,Premium,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Ideal,F,VS2,700-999
0.41,Very_Good,F,VS2,700-999
0.41,Very_Good,E,VS2,700-999
0.41,Ideal,G,VS1,700-999
0.41,Ideal,F,SI1,700-999
0.41,Very_Good,D,VS2,700-999
0.41,Very_Good,H,VVS2,700-999
0.41,Very_Good,H,VVS2,700-999
0.41,Good,D,VS2,700-999
0.41,Good,D,VS2,700-999
0.41,Ideal,I,VVS1,700-999
0.41,Ideal,I,VVS1,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,G,SI1,700-999
0.41,Good,H,SI1,700-999
0.41,Very_Good,H,SI1,700-999
0.41,Premium,H,SI1,700-999
0.41,Ideal,H,SI1,700-999
0.41,Ideal,H,SI1,700-999
0.41,Ideal,H,SI1,700-999
0.41,Premium,H,SI1,700-999
0.41,Ideal,H,SI1,700-999
0.41,Ideal,H,SI1,700-999
0.41,Premium,H,SI1,700-999
0.41,Premium,H,SI1,700-999
0.41,Premium,H,SI1,700-999
0.41,Premium,H,SI1,700-999
0.41,Premium,H,SI1,700-999
0.41,Premium,H,SI1,700-999
0.41,Ideal,E,SI2,700-999
0.41,Premium,E,SI2,700-999
0.41,Ideal,E,SI2,700-999
0.41,Premium,E,SI2,700-999
0.41,Premium,E,SI2,700-999
0.41,Premium,E,SI2,700-999
0.41,Ideal,E,SI2,700-999
0.41,Premium,E,SI2,700-999
0.41,Ideal,E,SI2,700-999
0.41,Premium,E,SI2,700-999
0.41,Premium,E,SI2,700-999
0.41,Ideal,D,SI2,700-999
0.41,Ideal,D,SI2,700-999
0.41,Premium,D,SI2,700-999
0.41,Premium,D,SI2,700-999
0.41,Premium,D,SI2,700-999
0.41,Ideal,D,SI2,700-999
0.41,Premium,D,SI2,700-999
0.41,Premium,D,SI2,700-999
0.41,Ideal,D,SI2,700-999
0.41,Premium,D,SI2,700-999
0.41,Premium,D,SI2,700-999
0.41,Ideal,I,VS1,700-999
0.41,Very_Good,F,SI1,700-999
0.41,Very_Good,E,SI1,700-999
0.41,Very_Good,G,VVS2,700-999
0.41,Very_Good,D,VS2,700-999
0.41,Very_Good,F,VS1,700-999
0.41,Very_Good,F,VS1,700-999
0.41,Ideal,D,VS2,700-999
0.41,Ideal,I,VVS1,700-999
0.41,Ideal,G,VS2,700-999
0.41,Good,F,VS1,700-999
0.41,Good,H,VVS1,700-999
0.41,Ideal,I,VVS2,700-999
0.41,Premium,G,VS1,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Ideal,H,VVS2,700-999
0.41,Ideal,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,H,VVS2,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Very_Good,H,VVS2,700-999
0.41,Ideal,G,VS1,700-999
0.41,Ideal,G,VS2,700-999
0.41,Ideal,F,SI1,700-999
0.41,Very_Good,F,SI1,700-999
0.41,Good,F,SI1,700-999
0.41,Ideal,F,SI1,700-999
0.41,Very_Good,F,SI1,700-999
0.41,Very_Good,F,SI1,700-999
0.41,Very_Good,F,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Very_Good,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Good,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Very_Good,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Good,E,SI1,700-999
0.41,Very_Good,E,SI1,700-999
0.41,Very_Good,E,VS1,700-999
0.41,Very_Good,D,SI1,700-999
0.41,Premium,F,SI2,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Ideal,F,SI1,700-999
0.41,Very_Good,E,VS2,700-999
0.41,Good,E,VS2,700-999
0.41,Very_Good,D,VS2,700-999
0.41,Very_Good,H,VS2,700-999
0.41,Good,F,VVS1,700-999
0.41,Good,E,VS1,700-999
0.41,Good,H,VS2,700-999
0.41,Premium,E,VVS2,700-999
0.41,Ideal,E,VVS2,700-999
0.41,Very_Good,D,SI1,700-999
0.41,Ideal,D,SI1,700-999
0.41,Very_Good,D,SI1,700-999
0.41,Ideal,D,SI1,700-999
0.41,Ideal,D,VS1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Ideal,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Premium,G,SI1,700-999
0.41,Ideal,G,SI1,700-999
0.41,Ideal,I,IF,700-999
0.41,Premium,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Very_Good,F,VS1,700-999
0.41,Very_Good,E,VS1,700-999
0.41,Very_Good,G,VVS2,700-999
0.41,Very_Good,G,VVS2,700-999
0.41,Very_Good,D,VS2,700-999
0.41,Premium,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Premium,E,VS2,700-999
0.41,Good,E,VS1,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Premium,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Very_Good,D,VS2,700-999
0.41,Ideal,G,VVS2,700-999
0.41,Ideal,H,VS2,700-999
0.41,Very_Good,H,VS2,700-999
0.41,Very_Good,G,VVS1,700-999
0.41,Ideal,H,VVS1,700-999
0.41,Premium,D,SI1,700-999
0.41,Very_Good,D,SI1,700-999
0.41,Very_Good,D,SI1,700-999
0.41,Very_Good,D,SI1,700-999
0.41,Very_Good,D,SI1,700-999
0.41,Good,D,SI1,700-999
0.41,Good,D,VVS2,700-999
0.41,Ideal,G,VS2,700-999
0.41,Very_Good,F,VS2,700-999
0.41,Premium,F,VVS2,700-999
0.41,Ideal,I,IF,700-999
0.41,Premium,E,SI2,700-999
0.41,Very_Good,E,SI1,700-999
0.41,Very_Good,E,VS1,700-999
0.41,Very_Good,E,VS1,700-999
0.41,Good,E,VS1,700-999
0.41,Good,E,VVS1,700-999
0.41,Very_Good,E,VS2,700-999
0.41,Ideal,G,VVS2,700-999
0.41,Premium,H,VVS2,700-999
0.41,Ideal,H,VVS2,700-999
0.41,Ideal,H,VVS2,700-999
0.41,Premium,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,G,VS1,700-999
0.41,Premium,G,VS1,700-999
0.41,Ideal,H,VS1,700-999
0.41,Premium,E,VS1,700-999
0.41,Ideal,E,VS1,700-999
0.41,Ideal,G,SI1,700-999
0.41,Ideal,G,SI1,700-999
0.41,Ideal,F,SI1,700-999
0.41,Good,I,VS1,700-999
0.41,Ideal,I,VS1,700-999
0.41,Premium,F,SI1,700-999
0.41,Premium,F,SI1,700-999
0.41,Premium,F,SI1,700-999
0.41,Premium,F,SI1,700-999
0.41,Ideal,F,SI1,700-999
0.41,Ideal,F,SI1,700-999
0.41,Good,F,SI1,700-999
0.41,Very_Good,F,SI1,700-999
0.41,Very_Good,F,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Very_Good,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Premium,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Ideal,E,SI1,700-999
0.41,Good,E,SI1,700-999
0.41,Very_Good,E,SI1,700-999
0.41,Ideal,H,VVS1,700-999
0.41,Very_Good,F,VS1,700-999
0.41,Very_Good,G,VS1,700-999
0.41,Good,E,VS2,700-999
0.41,Good,E,VS2,700-999
0.41,Premium,H,SI1,700-999
0.41,Good,G,VVS1,700-999
0.41,Good,D,VS1,700-999
0.41,Good,D,VS1,700-999
0.41,Ideal,E,VS1,700-999
0.41,Premium,H,VS1,700-999
0.41,Premium,G,VS2,700-999
0.41,Very_Good,H,VVS1,700-999
0.41,Very_Good,H,VVS1,700-999
0.41,Very_Good,D,VS1,700-999
0.41,Premium,J,VVS1,700-999
0.41,Ideal,J,VVS1,700-999
0.41,Premium,J,VVS1,700-999
0.41,Ideal,J,VVS1,700-999
0.41,Very_Good,D,VS2,700-999
0.41,Good,F,VVS2,700-999
0.41,Ideal,E,VS1,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Premium,E,VS2,700-999
0.41,Premium,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Premium,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Ideal,E,VS2,700-999
0.41,Premium,H,VVS2,700-999
0.41,Ideal,G,VVS1,1000-4999
0.41,Ideal,F,VVS1,1000-4999
0.41,Good,E,VVS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Very_Good,G,VVS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,I,IF,1000-4999
0.41,Very_Good,G,VVS2,1000-4999
0.41,Very_Good,F,VS1,1000-4999
0.41,Premium,D,VS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Premium,G,VVS2,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Very_Good,F,VS1,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Premium,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Very_Good,D,VS2,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Very_Good,F,VS1,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Very_Good,F,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,H,VVS1,1000-4999
0.41,Ideal,E,VVS2,1000-4999
0.41,Ideal,D,SI1,1000-4999
0.41,Ideal,D,SI1,1000-4999
0.41,Ideal,D,SI1,1000-4999
0.41,Premium,D,SI1,1000-4999
0.41,Ideal,D,SI1,1000-4999
0.41,Premium,D,SI1,1000-4999
0.41,Ideal,D,SI1,1000-4999
0.41,Ideal,D,SI1,1000-4999
0.41,Ideal,D,SI1,1000-4999
0.41,Premium,D,SI1,1000-4999
0.41,Ideal,D,SI1,1000-4999
0.41,Premium,D,SI1,1000-4999
0.41,Ideal,D,SI1,1000-4999
0.41,Ideal,D,SI1,1000-4999
0.41,Premium,D,SI1,1000-4999
0.41,Very_Good,D,SI1,1000-4999
0.41,Very_Good,E,SI1,1000-4999
0.41,Premium,D,SI1,1000-4999
0.41,Premium,F,VVS2,1000-4999
0.41,Very_Good,D,VS1,1000-4999
0.41,Very_Good,D,VS1,1000-4999
0.41,Ideal,D,VS1,1000-4999
0.41,Ideal,D,VS1,1000-4999
0.41,Very_Good,E,VVS2,1000-4999
0.41,Ideal,D,VS1,1000-4999
0.41,Very_Good,I,VVS2,1000-4999
0.41,Ideal,H,VS1,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Premium,H,VS1,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Ideal,H,VVS1,1000-4999
0.41,Ideal,H,VVS1,1000-4999
0.41,Premium,H,VVS1,1000-4999
0.41,Very_Good,H,VVS1,1000-4999
0.41,Ideal,H,VVS1,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Very_Good,G,VVS2,1000-4999
0.41,Ideal,G,VVS1,1000-4999
0.41,Ideal,I,VS2,1000-4999
0.41,Ideal,H,SI1,1000-4999
0.41,Ideal,H,SI1,1000-4999
0.41,Ideal,H,SI1,1000-4999
0.41,Premium,G,VVS2,1000-4999
0.41,Very_Good,E,VVS1,1000-4999
0.41,Very_Good,E,VVS1,1000-4999
0.41,Ideal,E,VVS1,1000-4999
0.41,Premium,E,VVS1,1000-4999
0.41,Premium,E,SI1,1000-4999
0.41,Good,E,VVS2,1000-4999
0.41,Premium,I,VVS2,1000-4999
0.41,Very_Good,J,IF,1000-4999
0.41,Good,J,IF,1000-4999
0.41,Premium,I,VVS2,1000-4999
0.41,Ideal,I,VVS2,1000-4999
0.41,Premium,I,VVS2,1000-4999
0.41,Good,I,VVS2,1000-4999
0.41,Very_Good,I,VVS2,1000-4999
0.41,Very_Good,I,VVS2,1000-4999
0.41,Ideal,I,VVS2,1000-4999
0.41,Ideal,I,VVS2,1000-4999
0.41,Premium,I,VVS2,1000-4999
0.41,Ideal,H,VS1,1000-4999
0.41,Very_Good,H,VS1,1000-4999
0.41,Ideal,H,VS1,1000-4999
0.41,Premium,H,VS1,1000-4999
0.41,Premium,H,VS1,1000-4999
0.41,Ideal,H,VS1,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Premium,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Ideal,G,VS2,1000-4999
0.41,Good,F,VVS2,1000-4999
0.41,Ideal,G,VVS1,1000-4999
0.41,Ideal,G,VVS1,1000-4999
0.41,Ideal,G,VVS1,1000-4999
0.41,Ideal,G,VVS1,1000-4999
0.41,Premium,G,VVS1,1000-4999
0.41,Ideal,G,VVS1,1000-4999
0.41,Ideal,G,VVS1,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,I,IF,1000-4999
0.41,Premium,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Premium,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Premium,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Ideal,G,VVS2,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Premium,F,VS1,1000-4999
0.41,Ideal,F,VS1,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Premium,D,VS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,D,VS2,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Premium,G,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Very_Good,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Very_Good,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Very_Good,E,VS1,1000-4999
0.41,Very_Good,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Premium,E,VS1,1000-4999
0.41,Ideal,E,VVS2,1000-4999
0.41,Premium,D,VS1,1000-4999
0.41,Ideal,G,VVS1,1000-4999
0.41,Ideal,E,VVS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,E,VS2,1000-4999
0.41,Fair,D,VVS2,1000-4999
0.41,Ideal,H,IF,1000-4999
0.41,Ideal,H,IF,1000-4999
0.41,Ideal,D,VS1,1000-4999
0.41,Premium,D,VVS2,1000-4999
0.41,Ideal,D,VVS2,1000-4999
0.41,Ideal,D,VVS2,1000-4999
0.41,Premium,D,VVS2,1000-4999
0.41,Ideal,I,VVS1,1000-4999
0.41,Premium,I,VVS1,1000-4999
0.41,Premium,I,VVS1,1000-4999
0.41,Ideal,I,VVS1,1000-4999
0.41,Premium,I,VVS1,1000-4999
0.41,Premium,I,VVS1,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Premium,F,VS2,1000-4999
0.41,Premium,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Premium,F,VS2,1000-4999
0.41,Premium,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Premium,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Premium,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Premium,F,VS2,1000-4999
0.41,Very_Good,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Premium,F,VS2,1000-4999
0.41,Premium,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,F,VS2,1000-4999
0.41,Ideal,G,SI1,1000-4999
0.41,Ideal,G,SI1,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Premium,F,VVS2,1000-4999
0.41,Very_Good,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Premium,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Premium,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Premium,F,VVS2,1000-4999
0.41,Very_Good,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Premium,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Ideal,F,VVS2,1000-4999
0.41,Premium,F,VVS2,1000-4999
0.41,Premium,F,VVS2,1000-4999
0.41,Ideal,E,VS1,1000-4999
0.41,Ideal,H,VVS1,1000-4999
0.41,Premium,H,VVS1,1000-4999
0.41,Premium,H,VVS1,1000-4999
0.41,Ideal,H,VVS1,1000-4999
0.41,Ideal,H,VVS1,1000-4999
